last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Bader, Harrison,664056,2021,27,367,401,16,85,27,21.2,6.7,.267,.460,.324,.785,.232,.394,.331,.292,86.2,13.3,31.7,
Fletcher, David,664058,2021,27,626,665,2,60,31,9.0,4.7,.262,.324,.295,.619,.273,.321,.273,.308,82.3,8.4,15.7,
Moore, Dylan,664238,2021,29,332,377,12,111,40,29.4,10.6,.181,.334,.276,.610,.204,.348,.271,.296,86.5,20.4,33.3,
Straw, Myles,664702,2021,27,564,638,4,121,67,19.0,10.5,.271,.348,.348,.695,.256,.333,.311,.337,87.1,11.9,26.2,
Bohm, Alec,664761,2021,25,380,417,7,111,31,26.6,7.4,.247,.342,.305,.647,.266,.398,.285,.323,92,5.6,49.5,
Wade Jr., LaMonte,664774,2021,27,336,381,18,89,33,23.4,8.7,.253,.482,.323,.805,.256,.475,.343,.331,90.1,19.8,41.7,
Brown, Seth,664913,2021,29,281,307,20,89,23,29.0,7.5,.214,.480,.274,.754,.225,.462,.315,.286,88.9,20.9,40.2,
Walsh, Jared,665120,2021,28,530,585,29,152,48,26.0,8.2,.277,.509,.340,.850,.257,.436,.357,.323,89.6,7.8,41.3,
Tatis Jr., Fernando,665487,2021,22,478,546,42,153,62,28.0,11.4,.282,.611,.364,.975,.279,.618,.403,.363,93.9,13.8,55.6,
Guerrero Jr., Vladimir,665489,2021,22,604,698,48,110,86,15.8,12.3,.311,.601,.401,1.002,.307,.594,.419,.399,95.1,9.4,55.2,
Soto, Juan,665742,2021,23,502,654,29,93,145,14.2,22.2,.313,.534,.465,.999,.305,.545,.420,.463,93,5.8,52.7,
Chisholm Jr., Jazz,665862,2021,23,464,507,18,145,34,28.6,6.7,.248,.425,.302,.726,.238,.409,.312,.295,90.2,9,42,
Lux, Gavin,666158,2021,24,335,381,7,83,41,21.8,10.8,.242,.364,.328,.692,.260,.387,.303,.345,89.8,11.3,40.2,
Bichette, Bo,666182,2021,23,640,690,29,137,40,19.9,5.8,.298,.484,.343,.828,.291,.490,.354,.337,91.4,7.3,47.5,
Carlson, Dylan,666185,2021,23,542,619,18,152,57,24.6,9.2,.266,.437,.342,.780,.247,.407,.336,.328,88.2,15.1,31.1,
Dalbec, Bobby,666915,2021,26,417,453,25,156,28,34.4,6.2,.240,.494,.298,.792,.236,.522,.334,.294,92.4,17.3,48.1,
Garcia, Adolis,666969,2021,28,581,622,31,194,32,31.2,5.1,.243,.454,.286,.741,.223,.426,.314,.271,91,14.7,45.5,
Gurriel Jr., Lourdes,666971,2021,28,500,541,21,102,32,18.9,5.9,.276,.466,.318,.784,.272,.462,.333,.319,89.7,10.5,43,
Arozarena, Randy,668227,2021,26,529,604,20,170,56,28.1,9.3,.274,.459,.356,.815,.222,.369,.350,.313,89.9,7.6,42.3,
Baddoo, Akil,668731,2021,23,413,461,13,122,45,26.5,9.8,.259,.436,.330,.766,.227,.403,.329,.303,86,13.8,32.3,
Reynolds, Bryan,668804,2021,26,559,646,24,119,75,18.4,11.6,.302,.522,.390,.912,.294,.524,.385,.384,89.4,13.4,40.8,
Rojas, Josh,668942,2021,27,484,550,11,137,58,24.9,10.5,.264,.411,.338,.749,.237,.357,.327,.318,88.2,8.4,31.1,
Marsh, Brandon,669016,2021,24,236,260,2,91,20,35.0,7.7,.254,.356,.315,.671,.266,.415,.296,.327,92.1,7.9,51.7,
Murphy, Sean,669221,2021,27,393,448,17,114,40,25.4,8.9,.216,.405,.306,.710,.240,.441,.309,.329,89.2,15.4,42.6,
