last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Abreu, Jose,547989,2021,34,566,659,30,143,61,21.7,9.3,.261,.481,.351,.831,.252,.457,.354,.347,92,10.4,49.3,
Diaz, Elias,553869,2021,31,338,371,18,60,30,16.2,8.1,.246,.464,.310,.774,.249,.426,.330,.314,87.1,14.7,37.6,
Narvaez, Omar,553882,2021,29,391,445,11,84,41,18.9,9.2,.266,.402,.342,.743,.235,.369,.322,.318,84.6,17.9,25.6,
Suarez, Eugenio,553993,2021,30,505,574,31,171,56,29.8,9.8,.198,.428,.286,.713,.215,.455,.306,.302,89.1,18.3,39.8,
Polanco, Gregory,570256,2021,30,336,382,11,104,36,27.2,9.4,.208,.354,.283,.637,.232,.411,.275,.310,89.9,15.9,48.3,
Urshela, Gio,570482,2021,30,420,442,14,109,20,24.7,4.5,.267,.419,.301,.720,.252,.415,.309,.288,88.9,7.5,42,
Schoop, Jonathan,570731,2021,30,623,674,22,133,37,19.7,5.5,.278,.435,.320,.755,.258,.404,.324,.305,88.1,10.8,40.2,
Arenado, Nolan,571448,2021,30,593,653,34,96,50,14.7,7.7,.255,.494,.312,.807,.248,.420,.336,.308,89,20,37.5,
Barnhart, Tucker,571466,2021,30,348,388,7,100,29,25.8,7.5,.247,.368,.317,.685,.204,.313,.300,.279,87.1,15.5,31.1,
Farmer, Kyle,571657,2021,31,483,529,16,97,22,18.3,4.2,.263,.416,.316,.732,.252,.383,.316,.306,87.2,15.8,31.9,
Goodwin, Brian,571718,2021,31,235,271,8,58,33,21.4,12.2,.221,.374,.317,.692,.248,.396,.306,.342,88.5,16.9,31.8,
Haniger, Mitch,571745,2021,31,620,691,39,169,54,24.5,7.8,.253,.485,.318,.804,.262,.498,.340,.329,89.3,14.8,45.1,
Hernandez, Enrique,571771,2021,30,508,585,20,110,61,18.8,10.4,.250,.449,.337,.786,.253,.455,.338,.342,90.8,17.9,43.2,
Holt, Brock,571788,2021,33,235,260,2,49,23,18.8,8.8,.209,.298,.281,.579,.229,.315,.259,.300,86.1,9.8,24.6,
Muncy, Max,571970,2021,31,497,592,36,120,83,20.3,14.0,.249,.527,.368,.895,.272,.583,.379,.388,91.2,15.2,46.6,
Myers, Wil,571976,2021,31,442,500,17,141,54,28.2,10.8,.256,.434,.334,.768,.218,.370,.330,.301,88,10.6,38,
Naquin, Tyler,571980,2021,30,411,454,19,106,35,23.3,7.7,.270,.477,.333,.809,.264,.459,.345,.328,89.8,9.6,41.6,
Pollock, AJ,572041,2021,34,384,422,21,80,30,19.0,7.1,.297,.536,.355,.892,.286,.504,.375,.347,90.3,12,47.4,
Seager, Kyle,572122,2021,34,603,670,35,161,59,24.0,8.8,.212,.438,.285,.723,.222,.454,.308,.295,89,19.5,40.1,
Taylor, Michael A.,572191,2021,30,483,528,12,144,33,27.3,6.3,.244,.356,.295,.652,.246,.391,.286,.299,89.4,12.1,40.2,
Walker, Christian,572233,2021,30,401,445,10,106,38,23.8,8.5,.244,.382,.315,.696,.249,.386,.304,.320,88.8,15.6,41.1,
Zunino, Mike,572287,2021,30,333,375,33,132,34,35.2,9.1,.216,.559,.301,.860,.220,.535,.358,.305,90.7,23.2,47,
Dickerson, Corey,572816,2021,32,336,365,6,68,25,18.6,6.8,.271,.408,.326,.734,.250,.377,.317,.307,87.8,10.1,35.7,
Ruf, Darin,573131,2021,35,262,312,16,87,46,27.9,14.7,.271,.519,.385,.904,.262,.515,.384,.378,93,9.8,54.5,
Yastrzemski, Mike,573262,2021,31,468,532,25,131,51,24.6,9.6,.224,.457,.310,.767,.222,.432,.326,.309,89.5,19.4,39.3,
Contreras, Willson,575929,2021,29,413,483,21,138,52,28.6,10.8,.237,.438,.340,.778,.240,.448,.337,.344,91.8,9.6,48.4,
